     11 KIVIKAS TIIT
     11 KLENSKI DIMITRI
     11 KRUUSAMÄGI HANS
     11 KUBO MÄRT
     11 KULL VÄINO
     11 LAAR MART
     11 LAASIK PEETER
     11 LAIDRE RENO
     11 LÄNKUR REET
     11 LIIVANDI TAISTO
     11 LÕHMUS TÕNU
     11 LUMISTE EERIK
     11 MÄGI LEINO
     11 MATSULEVITŠ TIIT
     11 METS HANNES
     11 METSOJA ANDRES
     11 MIKKO MARIANNE
     11 MOKS JAAN
     11 MÕTTUS MEELIS
     11 MUGUR ROMAN
     11 NIIT MAIE
     11 NOOK KOIT
     11 PÄRSIK MARGUS
     11 PEKSAR ARNO
     11 PELISAAR GEORG
     11 PEVKUR HANNO
     11 PIHEL PIRET
     11 PIHLAK JAAK
     11 PIHLAK KAIRIT
     11 PÕLDMÄE PRIIT
     11 PÕLDMA TOIVO
     11 POOLAMETS ANTI
     11 PRII JAANIS
     11 PÜRG KAAREL
     11 RANNAK MARIJAM
     11 REBANE REIN
     11 REBANE SIRJE
     11 REPS MAILIS
     11 RÕHU TOOMAS
     11 RÕIVAS TAAVI
     11 SAAR ENE
     11 SARV ENN
     11 SASI JÜRI
     11 SAU ENN
     11 SEEDER HELIR-VALDOR
     11 SEEME ANDRUS
     11 SEPPIK AIN
     11 SIBUL PEETER
     11 SIRENDI ARVO
     11 SLEPIKOVSKI BORISS
     11 SOOÄÄR IMRE
     11 SURVA AIVAR
     11 SUTT MATI
     11 SUURKAEV AIN
     11 TAMME HEIDY
     11 TAMM RAIVO
     11 TARTU MATI
     11 TARUM MATTI
     11 TEÄR KARL
     11 TÕNTS TIIT
     11 TRUMM UNO
     11 TRUU ELMAR-JOHANNES
     11 TULIK ÜLO
     11 VÄÄN ANDRES
     11 VASSILJEV PEEP
     11 VOODER JÜRI
     12 AASA AIN
     12 AKKERMANN ANNELY
     12 ANDERSON AARE
     12 BLANK TÕNIS
     12 DORMIDONTOV ALEKSANDR
     12 ENNET JÜRI
     12 ERKMANN KUNO
     12 HELME MART
     12 HINDOV JUHAN
     12 HIRVELA ANDRES
     12 HIRV INDREK
     12 HÜTT KALMER
     12 IVA KAIA
     12 JÄRVEOJA TOOMAS
     12 JEGOROV ANATOLI
     12 JÕGISOO VELLO
     12 KAAL VAMBO
     12 KAASIK KAIDO
     12 KAASIK TIIU
     12 KAGAROV ETTI
     12 KALLO KALEV
     12 KARILAID JAANUS
     12 KASE ENNO
     12 KÕIV ANDRES
     12 KÕLVART MIHHAIL
     12 KOPPELMANN ELMU
     12 KOTKAS KALEV
     12 KOTKAS ÜLO
     12 KUKK JÜRI
     12 KULLAM INDREK
     12 LEBEDEV JÜRI
     12 LEPIK MARGUS
     12 LEPPMAA ELVO
     12 LILLSOO JÜRI
     12 LUHAMETS JOEL
     12 MÄEKER MART
     12 MÄGI JAANUS
     12 MÄGI TIINA
     12 MERILA REIN
     12 MIHHAILOV LEONID
     12 MIHHAILOV SERGEI
     12 MIHKELS KALLE
     12 MURAVJOVA TATJANA
     12 NEEDO ÜLO
     12 NUUT ANDRES
     12 OVIIR SIIRI
     12 PAJU URMAS
     12 PAKOSTA LIISA-LY
     12 PÄRNISTE ARVO
     12 PÄRNITS KADI
     12 PETERSON PEEP
     12 PILL IVO
     12 PÕDER PRIIT
     12 POMERANTS MARKO
     12 RÄÄMET ANN
     12 RAMMUL IMRE
     12 RÕÕMUS PRIIDU
     12 ROSSMAN ARNO
     12 SAARE ARVO
     12 SAKS KATRIN
     12 SALVAN TIIT
